Amy Li,zlucas@hotmail.com,"68313 Rodney Skyway Apt. 048
Martinborough, OK 11693",Kyrgyz Republic,Jonathantown,34663,759-27-7130,Sports coach,Howard Group,"USS Mcmillan
FPO AE 45623",Romania,Janiceview,06647,2010-10-30 09:45:19,+1-241-839-3132x38859,"('SDG', 'Sudanese pound')",5.681818181818182
Andrea Ellis,corey83@hotmail.com,"22999 Hernandez Lock Suite 409
Andersonbury, RI 13412",Slovenia,New Suzanne,33041,139-67-2477,Actuary,"Thomas, Carter and Ross","54309 Sara Brooks
New Kevin, CA 82391",Cocos (Keeling) Islands,Chambersport,67372,1971-04-23 10:32:57,882-281-3591x15721,"('BHD', 'Bahraini dinar')",14.285714285714286
John Williamson,smcgee@yahoo.com,"609 Perez Causeway
Parkerton, HI 68629",China,Hollandton,96167,553-24-6785,Print production planner,Warner Group,"08255 Lisa Well Apt. 917
West Cynthiatown, AZ 27006",Niue,Lake Johnnyton,09193,2011-12-25 11:34:48,231.274.1952,"('MVR', 'Maldivian rufiyaa')",7.246376811594203
Tamara Stewart,conleyallison@booker.net,"018 Ruben Mountain
Harrisborough, IL 46725",China,North Yvonneburgh,53856,157-13-4217,"Programme researcher, broadcasting/film/video",Boyd and Sons,"80042 Baxter Loop
West Jennifer, MA 32877",Yemen,Shawnhaven,03912,1994-07-11 22:44:46,+1-941-670-0978x159,"('PEN', 'Peruvian sol')",6.666666666666667
Justin Roberts,sydneywalker@hotmail.com,"65340 Tucker Lake Suite 017
East Renee, AK 20025",Uganda,Lisaport,13104,706-06-6477,Secretary/administrator,Sutton Ltd,"USCGC Snyder
FPO AE 87693",Rwanda,West Jamesstad,58426,1974-12-07 13:32:36,199.037.9058x4533,"('HUF', 'Hungarian forint')",29.41176470588235
Kimberly Harrison,zwright@stewart.net,"6492 Newman Forge Apt. 553
Calderonmouth, RI 05052",Bhutan,Thomasview,23655,641-95-1070,Management consultant,"Powell, Powers and Woodward","325 Andrew Spring Apt. 905
West Brian, CA 02874",Lao People's Democratic Republic,Kylefort,71024,1988-07-02 11:56:27,439-917-2106,"('LBP', 'Lebanese pound')",11.627906976744185
Willie Jackson,ywest@bryant.info,"378 Fernandez Parkways
Jacobside, KS 99130",Cape Verde,West Tina,52701,795-61-7110,Company secretary,"Snyder, Foley and Smith","PSC 6076, Box 1783
APO AA 05877",Libyan Arab Jamahiriya,Markbury,79128,1973-02-13 13:08:48,741-955-9754,"('SVC', 'Salvadoran colón')",7.936507936507937
Laura Gordon,steven68@allen-benson.com,"46165 Gonzales Mews Apt. 389
Rileymouth, TX 83515",Kiribati,West Williamton,12148,047-18-2391,International aid/development worker,Hurst-Phillips,"812 Melissa Forks Apt. 818
Jenningsberg, IL 32694",Uruguay,Loriberg,51198,1994-03-06 03:58:32,317.809.8580x818,"('JMD', 'Jamaican dollar')",8.474576271186441
Eddie Jones,xwade@gmail.com,"PSC 5698, Box 7589
APO AE 53620",Greenland,South Nicholasbury,86209,527-17-6133,Ceramics designer,Gonzales LLC,"3169 Oconnor Station
East Mario, MT 37195",United States Virgin Islands,Washingtonmouth,73620,1986-03-06 23:54:45,+1-095-956-9510,"('ALL', 'Albanian lek')",5.681818181818182
Julie Waller,christinarobinson@yahoo.com,"67167 Debra Underpass Apt. 075
New Jillianbury, FL 23647",China,Deniseberg,98413,443-40-1731,Tour manager,Ward-Taylor,"4539 Eric Springs
Johnborough, NV 96775",Kyrgyz Republic,West Michaelshire,82550,1981-01-23 02:17:39,853.524.1581,"('COP', 'Colombian peso')",6.410256410256411
Mary Turner,falvarez@yahoo.com,"9165 Morrison Rest
New Nicholas, WI 72731",Eritrea,Johnsonchester,81447,619-28-7245,Archivist,Long-Gutierrez,"4505 Justin Junctions
Lake Soniafort, NJ 03874",Sudan,South Alexis,00886,2005-10-16 10:59:52,088-208-5950,"('KYD', 'Cayman Islands dollar')",25.0
Andrew Smith,millerphyllis@gmail.com,"1202 Angelica Shores
Mckinneyton, MI 75655",Cote d'Ivoire,Lake Rodneyborough,35362,869-59-0872,"Runner, broadcasting/film/video",Fletcher and Sons,"06193 Bailey Manors
East Leslieside, FL 18194",Belize,East Tomstad,87851,1999-07-25 17:38:18,344-148-7022x238,"('BZD', 'Belize dollar')",20.833333333333332
Zachary Livingston,zhenry@yahoo.com,"525 Collins Valley
Blakestad, NC 52585",Montenegro,Andersonmouth,46299,516-80-5642,"Physicist, medical","Clark, Cannon and Giles","PSC 0807, Box 9430
APO AE 71090",Saint Kitts and Nevis,Lake Maryport,05784,2018-05-12 23:50:22,(902)763-8909,"('BGN', 'Bulgarian lev')",17.24137931034483
