Adrian Mejia,kcoleman@thomas.com,"2246 Lopez Mews Suite 871
New Julie, PA 87071",United States Virgin Islands,New Jessicafort,88202,621-28-1991,"Research officer, political party",Moody-Lin,"456 Ronald Landing
South Brittany, NY 23966",United Kingdom,East Matthew,30787,1976-11-20 16:09:27,569.786.6586x85409,"('KWD', 'Kuwaiti dinar')",20.833333333333332
Ashley Rodriguez,lawsonsusan@alvarez.com,"46086 Rhonda Crossroad
North Matthew, VA 35425",Macedonia,West Robertostad,16091,793-05-0791,Fisheries officer,"Smith, Castro and Snow","PSC 3171, Box 8407
APO AA 86989",Zambia,West Gary,17137,2009-04-11 03:23:28,960-085-4999x180,"('GTQ', 'Guatemalan quetzal')",19.23076923076923
Peter Johnson,hahneric@gmail.com,"9147 Katherine Square
Port Matthew, MD 50529",Saint Barthelemy,East Michael,51580,183-30-9490,Magazine features editor,Baker-Hart,"9176 Joshua Pine
Garyport, KS 26298",Cyprus,Whitehaven,84661,1980-02-25 09:29:30,(104)826-8289x3122,"('BZD', 'Belize dollar')",50.0
Anthony Baldwin,fgregory@ramirez.com,"3361 Michelle Estates
Joshuachester, FL 73185",Syrian Arab Republic,Port Lori,96777,164-51-5786,Oncologist,Huerta-Kaiser,"Unit 9719 Box 0535
DPO AE 20675",Guadeloupe,Ortizton,51351,2008-01-10 08:32:56,907-363-8388x4851,"('SYP', 'Syrian pound')",38.46153846153846
Julia Stevenson,ljones@robbins.com,"2236 Schmidt Square Suite 884
Markmouth, NM 16579",Armenia,North Sharonfurt,01236,861-50-2611,Environmental health practitioner,Jordan-Shea,"398 Holmes Junction
East Shannon, CT 03638",Turkmenistan,Ramosstad,32153,1994-06-04 13:50:21,(040)414-6268,"('AED', 'United Arab Emirates dirham')",14.285714285714286
Eric Myers,ylewis@hotmail.com,"5529 Bright Drives
Alexanderchester, OR 48235",United States Minor Outlying Islands,Bakerfort,07859,771-71-0827,Dispensing optician,"Maddox, Walker and Nunez","204 Stewart Inlet
Douglasfort, WI 14692",Chad,South Jameston,01812,1998-05-13 06:31:15,8059057049,"('BRL', 'Brazilian real')",6.8493150684931505
Deborah Tran,xwalton@hotmail.com,"33624 Scott Place Apt. 673
New Ashleyfurt, SD 25201",Marshall Islands,North Justinchester,10338,156-34-7736,Statistician,"Jackson, Morris and Morris","22830 Holt Field
Carterview, SC 40006",Gibraltar,Smithmouth,43151,1979-11-26 02:28:23,222-784-6651,"('CUP', 'Cuban peso')",250.0
Sheri Watkins,franklintristan@yahoo.com,"75819 Francis Valleys
Murphyside, SD 04164",Morocco,South Joseph,91373,682-55-1924,"Exhibitions officer, museum/gallery",Carpenter-Fields,"7278 Rebecca Road Suite 072
Jessicafurt, NE 58139",Falkland Islands (Malvinas),Morrisbury,40795,2018-07-08 08:31:35,(287)568-9500,"('LTL', 'Lithuanian litas')",7.6923076923076925
John Dunlap,samantha02@hotmail.com,"484 Bennett Forest Suite 778
Kirstenfort, MI 62448",Czech Republic,Patrickside,54616,052-38-4850,Landscape architect,Chen PLC,"917 Bush Extension Apt. 053
Hollyview, CA 22055",Nicaragua,Lake Hannahside,33993,2015-04-04 16:02:30,001-003-968-0890x2964,"('DJF', 'Djiboutian franc')",250.0
Krystal Miller,carrolljennifer@gmail.com,"527 Walker Forest Apt. 884
North Melissa, AK 16215",Thailand,Allenport,68625,260-30-6017,"Designer, television/film set",Graham Ltd,"392 Costa Harbors
Annafurt, WI 99444",Switzerland,Victoriachester,23159,1970-02-23 15:37:43,586-616-3670x650,"('SPL', 'Seborga luigino')",6.25
